iter	Passed	Remaining
0	58	17513
1	59	8840
2	60	5943
3	60	4496
4	61	3632
5	62	3053
6	62	2636
7	63	2322
8	64	2079
9	64	1881
10	65	1721
11	66	1586
12	66	1470
13	67	1373
14	67	1291
15	68	1218
16	69	1155
17	70	1098
18	70	1045
19	71	997
20	71	953
21	72	913
22	72	877
23	73	845
24	73	813
25	74	785
26	75	758
27	75	734
28	76	712
29	76	691
30	77	672
31	78	653
32	78	635
33	79	618
34	79	602
35	80	587
36	80	573
37	81	560
38	81	547
39	82	535
40	82	523
41	83	512
42	84	502
43	84	492
44	85	482
45	85	473
46	86	464
47	86	455
48	87	447
49	87	439
50	88	431
51	88	423
52	89	416
53	89	409
54	90	403
55	91	396
56	91	390
57	92	384
58	93	380
59	93	374
60	94	369
61	94	363
62	95	357
63	95	352
64	96	347
65	96	342
66	97	337
67	97	332
68	97	327
69	98	323
70	99	319
71	99	315
72	100	311
73	100	307
74	101	303
75	101	299
76	102	295
77	102	291
78	102	288
79	103	284
80	103	280
81	104	277
82	104	273
83	105	270
84	105	267
85	105	263
86	106	260
87	106	257
88	107	254
89	107	251
90	108	248
91	108	245
92	109	242
93	109	239
94	109	237
95	110	234
96	110	231
97	111	229
98	111	226
99	112	224
100	112	221
101	113	219
102	113	217
103	114	214
104	114	212
105	114	210
106	115	208
107	115	205
108	116	203
109	117	202
110	117	200
111	118	198
112	118	196
113	119	194
114	119	192
115	120	190
116	120	188
117	120	186
118	121	184
119	121	182
120	122	180
121	122	178
122	122	176
123	123	175
124	123	173
125	124	171
126	124	170
127	125	168
128	125	166
129	126	164
130	126	163
131	127	161
132	127	160
133	127	158
134	128	156
135	128	155
136	129	153
137	129	152
138	130	150
139	130	149
140	130	147
141	131	146
142	131	144
143	132	143
144	132	141
145	133	140
146	133	139
147	134	137
148	134	136
149	134	134
150	135	133
151	135	132
152	136	130
153	136	129
154	137	128
155	137	126
156	137	125
157	138	124
158	138	123
159	139	121
160	139	120
161	140	119
162	140	118
163	141	117
164	141	116
165	142	114
166	142	113
167	143	112
168	143	111
169	143	110
170	144	108
171	144	107
172	145	106
173	145	105
174	146	104
175	146	103
176	146	102
177	147	101
178	147	99
179	148	98
180	148	97
181	149	96
182	149	95
183	150	94
184	150	93
185	150	92
186	151	91
187	151	90
188	152	89
189	152	88
190	153	87
191	153	86
192	154	85
193	154	84
194	154	83
195	155	82
196	155	81
197	156	80
198	156	79
199	157	78
200	157	77
201	158	76
202	158	75
203	159	74
204	159	73
205	159	72
206	160	71
207	160	71
208	161	70
209	161	69
210	161	68
211	162	67
212	162	66
213	163	65
214	163	64
215	164	63
216	164	62
217	165	62
218	165	61
219	166	60
220	166	59
221	166	58
222	167	57
223	167	56
224	168	56
225	168	55
226	169	54
227	169	53
228	170	52
229	170	51
230	171	51
231	171	50
232	171	49
233	172	48
234	172	47
235	173	47
236	173	46
237	174	45
238	174	44
239	175	43
240	175	42
241	175	42
242	176	41
243	176	40
244	177	39
245	177	39
246	178	38
247	178	37
248	179	36
249	179	35
250	180	35
251	180	34
252	180	33
253	181	32
254	181	32
255	182	31
256	182	30
257	183	29
258	183	29
259	184	28
260	184	27
261	185	26
262	185	26
263	185	25
264	186	24
265	186	23
266	187	23
267	187	22
268	188	21
269	188	20
270	189	20
271	189	19
272	190	18
273	190	18
274	190	17
275	191	16
276	191	15
277	192	15
278	192	14
279	193	13
280	193	13
281	193	12
282	194	11
283	194	10
284	195	10
285	195	9
286	196	8
287	196	8
288	197	7
289	197	6
290	198	6
291	198	5
292	198	4
293	199	4
294	199	3
295	200	2
296	200	2
297	201	1
298	201	0
299	201	0
